(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, AdjustTokenPrivileges () completed with status (00000514)
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, Input parameters: 4 supplied
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 1: 15576
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 2: 0
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 3: 0:0
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, 	Parameter 4: 00007FF65B26B360
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE, Parsed parameters:
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ProcessID = 15576
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ThreadId = 0
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     Flags = 0x0
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     MiniDumpFlags = 0x0
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     SqlInfoPtr = 0x00007FF65B26B360
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     DumpDir = <NULL>
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ExceptionRecordPtr = 0x0000000000000000
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ContextPtr = 0x0000000000000000
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ExtraFile = <NULL>
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     PatternForExtraFiles = <NULL>
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     InstanceName = <NULL>
(64C:4720) 11/05/23 12:39:06, ACTION, SQLDUMPER_UNKNOWN_APP.EXE,     ServiceName = <NULL>
(64C:4720) 11/05/23 12:39:06, ERROR ,               mpdwsvc.exe, String at 0000029D82DAF8C0 was not NULL terminated
(64C:4720) 11/05/23 12:39:06, ACTION,               mpdwsvc.exe, Remote process didn't specify a dump file name
(64C:4720) 11/05/23 12:39:06, ACTION,               mpdwsvc.exe, MINIDUMP_TYPE: 0x21966
